trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
67,False,"{'a': 0.5, 'e': 0.9234378026481879}",20,0,-162.7181524834612,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
68,False,"{'a': 0.5, 'e': 0.9212896628294649}",30,0,-173.04102732315818,"{0: 15, 1: 6, 2: 6, 3: 1, 4: 2}",0
69,False,"{'a': 0.5, 'e': 0.9190865327845347}",30,0,-170.39571851828904,"{0: 17, 1: 2, 2: 8, 3: 1, 4: 2}",0
70,False,"{'a': 0.5, 'e': 0.9168273035060777}",35,0,-281.00719233416606,"{0: 20, 1: 1, 2: 6, 3: 4, 4: 4}",0
71,False,"{'a': 0.5, 'e': 0.9145108605651936}",20,0,-139.20825027143445,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.9121360851706988}",30,0,-115.15804245448106,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
73,False,"{'a': 0.5, 'e': 0.9097018552970803}",35,0,-133.95994679316667,"{0: 22, 1: 1, 2: 10, 3: 1, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.907207046882843}",30,0,-105.92222552260206,"{0: 17, 1: 3, 2: 10, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9046505351008906}",20,0,-82.21597829821202,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.9020311957024459}",25,0,-134.96990384221078,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.8993479064358931}",20,0,-94.42985410815969,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
78,False,"{'a': 0.5, 'e': 0.8965995485417504}",20,0,-119.56725389801082,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.8937850083248244}",25,0,-118.78613707113425,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
80,False,"{'a': 0.5, 'e': 0.8909031788043871}",25,0,-79.40634310899283,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
81,False,"{'a': 0.5, 'e': 0.8879529614430097}",30,0,-101.46159924111963,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.8849332679544502}",20,0,-150.11839649748217,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 3}",0
83,False,"{'a': 0.5, 'e': 0.8818430221907304}",35,18,-89.14529526187496,"{0: 10, 1: 2, 2: 2, 3: 2, 4: 1}",1
84,False,"{'a': 0.5, 'e': 0.8786811621082631}",25,0,-17.118710857974282,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.8754466418125836}",30,0,-60.713461405611184,"{0: 22, 1: 0, 2: 7, 3: 1, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.8721384336809187}",25,11,-9.134597855695825,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.8687555305614766}",30,14,-39.15079646372725,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.5, 'e': 0.8652969480479719}",20,0,-114.69680416599897,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.861761726827506}",20,6,-1.961472953272759,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.8581489350995123}",30,17,-53.39119529867928,"{0: 7, 1: 1, 2: 4, 3: 1, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.8544576710630347}",20,0,-98.00541253350565,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.8506870654691563}",20,9,-55.32730399174867,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 1}",1
93,False,"{'a': 0.5, 'e': 0.8468362842349139}",20,0,-8.147951740991378,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.8429045311145473}",20,0,-106.11552497029774,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
